repository,stars,url,total_bugs,bugs_per_class,total_java_files,total_loc,total_classes,total_methods,avg_wmc,avg_cbo,avg_rfc,avg_dit,avg_noc,avg_wmc_method,avg_loc_method,avg_loops,avg_comparisons,code_duplication_percent,maintainability_index,ck_output_dir,analysis_time_seconds,analysis_date
macrozheng/mall,82155,https://github.com/macrozheng/mall,0,0.0,526,65769,760,14173,20.09,3.93,4.88,1.24,0.02,1.08,3.94,0.01,0.04,14.98,0,temp_repos\ck_output_macrozheng_mall,13.93,2025-11-17T16:49:10.363784
spring-projects/spring-boot,79009,https://github.com/spring-projects/spring-boot,0,0.0,8105,483196,13451,51719,4.96,5.45,7.11,1.29,0.05,1.29,5.4,0.04,0.12,6.99,0,temp_repos\ck_output_spring-projects_spring-boot,143.95,2025-11-17T16:49:24.290287
jeecgboot/JeecgBoot,44376,https://github.com/jeecgboot/JeecgBoot,759,0.902,835,60858,841,4690,12.87,7.14,13.39,1.18,0.02,2.31,9.22,0.15,0.4,11.17,0,temp_repos\ck_output_jeecgboot_JeecgBoot,22.92,2025-11-17T16:51:48.236871
apache/dubbo,41586,https://github.com/apache/dubbo,0,0.0,4015,308050,4942,30393,10.89,5.42,11.76,1.28,0.11,1.77,7.03,0.09,0.27,11.0,0,temp_repos\ck_output_apache_dubbo,84.07,2025-11-17T16:52:11.162164
alibaba/arthas,36849,https://github.com/alibaba/arthas,99,0.077,917,66392,1283,7025,10.46,4.72,9.7,1.38,0.17,1.91,7.08,0.11,0.33,13.58,0,temp_repos\ck_output_alibaba_arthas,21.81,2025-11-17T16:53:35.231847
YunaiV/ruoyi-vue-pro,34198,https://github.com/YunaiV/ruoyi-vue-pro,171,0.045,3688,169838,3763,11978,4.86,7.89,8.74,1.22,0.06,1.53,5.87,0.02,0.19,5.02,0,temp_repos\ck_output_YunaiV_ruoyi-vue-pro,67.44,2025-11-17T16:53:57.041779
xkcoding/spring-boot-demo,33975,https://github.com/xkcoding/spring-boot-demo,46,0.095,484,11960,482,1000,2.77,5.05,4.81,1.13,0.06,1.33,5.43,0.03,0.05,10.72,0,temp_repos\ck_output_xkcoding_spring-boot-demo,11.86,2025-11-17T16:55:04.483268
apolloconfig/apollo,29705,https://github.com/apolloconfig/apollo,29,0.038,673,49669,770,4485,8.49,7.41,12.66,1.26,0.18,1.46,6.65,0.07,0.14,10.3,0,temp_repos\ck_output_apolloconfig_apollo,18.22,2025-11-17T16:55:16.344663
wuyouzhuguli/SpringAll,28974,https://github.com/wuyouzhuguli/SpringAll,0,0.0,661,18026,378,1065,3.34,5.24,4.78,1.11,0.02,1.18,4.53,0.01,0.06,14.26,0,temp_repos\ck_output_wuyouzhuguli_SpringAll,11.43,2025-11-17T16:55:34.568984
alibaba/spring-cloud-alibaba,28870,https://github.com/alibaba/spring-cloud-alibaba,0,0.0,459,25654,605,2500,6.74,5.82,7.4,1.11,0.03,1.63,6.09,0.04,0.21,14.59,0,temp_repos\ck_output_alibaba_spring-cloud-alibaba,12.5,2025-11-17T16:55:45.995353
alibaba/druid,28203,https://github.com/alibaba/druid,411,0.07,5200,414238,5842,35741,13.12,5.09,11.2,1.94,0.14,2.14,8.68,0.09,0.46,14.04,0,temp_repos\ck_output_alibaba_druid,99.27,2025-11-17T16:55:58.497387
lenve/vhr,28017,https://github.com/lenve/vhr,0,0.0,92,3732,94,683,9.07,4.44,5.62,1.02,0.0,1.25,3.71,0.02,0.14,9.21,0,temp_repos\ck_output_lenve_vhr,4.76,2025-11-17T16:57:37.766555
apache/incubator-seata,25879,https://github.com/apache/incubator-seata,0,0.0,2657,278704,3971,30034,22.4,6.49,10.65,1.77,0.15,2.96,7.14,0.05,0.18,5.52,0,temp_repos\ck_output_apache_incubator-seata,72.97,2025-11-17T16:57:42.526713
OpenAPITools/openapi-generator,25263,https://github.com/OpenAPITools/openapi-generator,0,0.0,12639,1224353,4359,29424,12.61,5.2,11.07,1.25,0.3,1.87,7.56,0.08,0.3,5.17,0,temp_repos\ck_output_OpenAPITools_openapi-generator,243.98,2025-11-17T16:58:55.498148
proxyee-down-org/proxyee-down,24852,https://github.com/proxyee-down-org/proxyee-down,0,0.0,42,3911,60,321,11.55,5.52,17.18,1.47,0.0,2.15,8.86,0.14,0.43,11.39,0,temp_repos\ck_output_proxyee-down-org_proxyee-down,5.74,2025-11-17T17:02:59.479784
redisson/redisson,24126,https://github.com/redisson/redisson,1237,0.431,2992,336181,2868,24735,12.7,6.01,10.99,1.35,0.34,1.47,6.09,0.06,0.18,12.49,0,temp_repos\ck_output_redisson_redisson,67.96,2025-11-17T17:03:05.221879
dataease/dataease,22351,https://github.com/dataease/dataease,0,0.0,1004,55377,1104,3891,8.73,4.95,9.01,1.21,0.08,2.48,9.29,0.2,0.26,9.21,0,temp_repos\ck_output_dataease_dataease,32.44,2025-11-17T17:04:13.179261
apache/rocketmq,22214,https://github.com/apache/rocketmq,0,0.0,2115,250441,2868,22036,14.9,6.91,18.79,1.33,0.16,1.94,8.68,0.13,0.3,8.54,0,temp_repos\ck_output_apache_rocketmq,63.92,2025-11-17T17:04:45.617966
elunez/eladmin,21841,https://github.com/elunez/eladmin,11,0.039,274,12710,282,963,6.21,8.01,8.75,1.16,0.09,1.82,6.94,0.12,0.2,6.44,0,temp_repos\ck_output_elunez_eladmin,10.91,2025-11-17T17:05:49.539941
brettwooldridge/HikariCP,20850,https://github.com/brettwooldridge/HikariCP,109,0.589,113,14420,185,1409,12.75,4.38,12.55,1.29,0.07,1.67,7.08,0.07,0.21,5.31,0,temp_repos\ck_output_brettwooldridge_HikariCP,6.52,2025-11-17T17:06:00.446907
linlinjava/litemall,20029,https://github.com/linlinjava/litemall,5,0.008,333,60614,617,11848,23.7,4.62,8.73,1.13,0.01,1.23,4.39,0.02,0.17,10.55,0,temp_repos\ck_output_linlinjava_litemall,18.17,2025-11-17T17:06:06.972129
yudaocode/SpringBoot-Labs,19954,https://github.com/yudaocode/SpringBoot-Labs,6,0.004,2080,42530,1463,3000,2.3,4.3,3.1,1.05,0.02,1.12,4.21,0.02,0.03,5.41,0,temp_repos\ck_output_yudaocode_SpringBoot-Labs,54.63,2025-11-17T17:06:25.147283
dromara/Sa-Token,18332,https://github.com/dromara/Sa-Token,2,0.003,949,41156,748,4450,8.78,4.51,8.29,1.22,0.06,1.46,5.36,0.05,0.17,8.36,0,temp_repos\ck_output_dromara_Sa-Token,28.45,2025-11-17T17:07:19.779115
Tencent/APIJSON,18273,https://github.com/Tencent/APIJSON,0,0.0,68,14942,70,1561,69.9,5.89,28.97,1.24,0.0,3.13,8.27,0.09,0.89,12.42,0,temp_repos\ck_output_Tencent_APIJSON,6.14,2025-11-17T17:07:48.232811
YunaiV/yudao-cloud,18122,https://github.com/YunaiV/yudao-cloud,21,0.006,3749,168367,3807,11843,4.78,7.84,8.46,1.21,0.06,1.54,5.79,0.02,0.19,8.24,0,temp_repos\ck_output_YunaiV_yudao-cloud,85.46,2025-11-17T17:07:54.370461
heibaiying/BigData-Notes,16750,https://github.com/heibaiying/BigData-Notes,0,0.0,69,2863,77,221,4.94,5.71,9.62,1.22,0.0,1.72,8.46,0.18,0.13,11.84,0,temp_repos\ck_output_heibaiying_BigData-Notes,7.6,2025-11-17T17:09:19.828670
GoogleContainerTools/jib,14068,https://github.com/GoogleContainerTools/jib,0,0.0,600,56724,704,4251,8.81,7.06,16.28,1.22,0.03,1.46,7.04,0.05,0.13,14.41,0,temp_repos\ck_output_GoogleContainerTools_jib,23.05,2025-11-17T17:09:27.429647
sqshq/piggymetrics,13779,https://github.com/sqshq/piggymetrics,0,0.0,97,3292,99,304,3.42,6.04,7.12,1.06,0.0,1.12,5.02,0.01,0.06,6.95,0,temp_repos\ck_output_sqshq_piggymetrics,5.98,2025-11-17T17:09:50.478067
pinpoint-apm/pinpoint,13749,https://github.com/pinpoint-apm/pinpoint,415,0.045,7343,344555,9147,36509,6.09,5.21,7.3,1.14,0.05,1.53,6.15,0.07,0.18,12.16,0,temp_repos\ck_output_pinpoint-apm_pinpoint,174.49,2025-11-17T17:09:56.462431
kekingcn/kkFileView,13612,https://github.com/kekingcn/kkFileView,0,0.0,78,10425,83,636,17.96,7.27,17.76,1.05,0.02,2.34,13.8,0.14,0.21,13.14,0,temp_repos\ck_output_kekingcn_kkFileView,45.39,2025-11-17T17:12:50.952400
Netflix/conductor,12788,https://github.com/Netflix/conductor,0,0.0,516,64496,664,5838,13.09,7.5,20.19,1.25,0.14,1.49,7.29,0.05,0.15,13.15,0,temp_repos\ck_output_Netflix_conductor,20.72,2025-11-17T17:13:36.345423
codecentric/spring-boot-admin,12744,https://github.com/codecentric/spring-boot-admin,409,0.876,363,21563,467,1818,4.83,7.8,12.79,1.26,0.13,1.24,5.77,0.01,0.07,12.8,0,temp_repos\ck_output_codecentric_spring-boot-admin,14.5,2025-11-17T17:13:57.069072
alibaba/COLA,12736,https://github.com/alibaba/COLA,0,0.0,546,14035,559,1560,3.6,4.33,3.77,1.33,0.19,1.29,4.77,0.05,0.11,5.14,0,temp_repos\ck_output_alibaba_COLA,14.4,2025-11-17T17:14:11.567502
macrozheng/mall-swarm,12696,https://github.com/macrozheng/mall-swarm,0,0.0,533,66247,764,14486,20.31,3.79,4.86,1.23,0.01,1.07,3.9,0.01,0.04,8.78,0,temp_repos\ck_output_macrozheng_mall-swarm,19.64,2025-11-17T17:14:25.971550
metersphere/metersphere,12642,https://github.com/metersphere/metersphere,0,0.0,2704,288566,3702,34798,12.7,6.68,11.59,1.3,0.07,1.35,6.05,0.03,0.09,10.84,0,temp_repos\ck_output_metersphere_metersphere,83.78,2025-11-17T17:14:45.610959
pagehelper/Mybatis-PageHelper,12361,https://github.com/pagehelper/Mybatis-PageHelper,21,0.116,161,8596,181,734,6.97,5.81,9.33,1.44,0.19,1.72,8.83,0.05,0.27,10.18,0,temp_repos\ck_output_pagehelper_Mybatis-PageHelper,9.09,2025-11-17T17:16:09.394584
newbee-ltd/newbee-mall,11444,https://github.com/newbee-ltd/newbee-mall,0,0.0,88,4937,89,727,13.02,5.03,8.53,1.07,0.0,1.59,4.83,0.04,0.18,8.97,0,temp_repos\ck_output_newbee-ltd_newbee-mall,7.93,2025-11-17T17:16:18.486053
apereo/cas,11232,https://github.com/apereo/cas,0,0.0,7033,408346,9023,23094,3.62,9.33,11.23,1.49,0.24,1.41,7.31,0.02,0.11,12.88,0,temp_repos\ck_output_apereo_cas,179.13,2025-11-17T17:16:26.412120
ssssssss-team/spider-flow,11067,https://github.com/ssssssss-team/spider-flow,0,0.0,130,9007,161,968,13.07,5.39,10.04,1.73,0.02,2.17,6.83,0.13,0.43,10.2,0,temp_repos\ck_output_ssssssss-team_spider-flow,9.77,2025-11-17T17:19:25.546199
apple/pkl,10944,https://github.com/apple/pkl,28,0.017,724,67716,1646,7433,7.93,6.31,7.44,4.38,0.93,1.75,5.73,0.09,0.3,13.75,0,temp_repos\ck_output_apple_pkl,34.54,2025-11-17T17:19:35.315153
resilience4j/resilience4j,10439,https://github.com/resilience4j/resilience4j,98,0.061,1328,84274,1594,8286,6.41,7.0,10.85,1.47,0.14,1.23,5.93,0.01,0.06,6.41,0,temp_repos\ck_output_resilience4j_resilience4j,39.4,2025-11-17T17:20:09.854603
langchain4j/langchain4j,9631,https://github.com/langchain4j/langchain4j,655,0.192,2161,180515,3416,17306,7.07,6.08,10.8,1.19,0.06,1.39,5.81,0.03,0.16,13.87,0,temp_repos\ck_output_langchain4j_langchain4j,61.32,2025-11-17T17:20:51.398426
crossoverJie/cim,9463,https://github.com/crossoverJie/cim,6,0.03,166,7623,202,678,5.05,4.88,7.02,1.28,0.09,1.5,6.72,0.17,0.13,6.79,0,temp_repos\ck_output_crossoverJie_cim,9.33,2025-11-17T17:21:52.717701
flyway/flyway,9271,https://github.com/flyway/flyway,0,0.0,735,43646,740,4281,11.73,5.97,12.54,1.5,0.1,2.03,6.5,0.14,0.33,9.26,0,temp_repos\ck_output_flyway_flyway,33.52,2025-11-17T17:22:02.048204
karatelabs/karate,8722,https://github.com/karatelabs/karate,323,0.553,509,46620,584,5170,15.69,6.63,15.89,1.21,0.07,1.76,6.78,0.07,0.28,12.05,0,temp_repos\ck_output_karatelabs_karate,20.72,2025-11-17T17:22:35.567416
hs-web/hsweb-framework,8398,https://github.com/hs-web/hsweb-framework,44,0.052,690,34662,851,3160,6.12,6.16,8.77,1.34,0.07,1.65,5.77,0.07,0.28,8.27,0,temp_repos\ck_output_hs-web_hsweb-framework,22.15,2025-11-17T17:22:56.291598
alibaba/transmittable-thread-local,8201,https://github.com/alibaba/transmittable-thread-local,0,0.0,126,7281,155,834,10.39,5.59,9.44,1.43,0.1,1.93,6.14,0.14,0.33,10.73,0,temp_repos\ck_output_alibaba_transmittable-thread-local,8.39,2025-11-17T17:23:18.443078
abel533/Mapper,7380,https://github.com/abel533/Mapper,13,0.028,390,21547,458,2226,7.49,5.06,7.5,1.24,0.14,1.54,6.97,0.07,0.16,10.67,0,temp_repos\ck_output_abel533_Mapper,13.54,2025-11-17T17:23:31.288040
spring-projects/spring-ai,7180,https://github.com/spring-projects/spring-ai,156,0.052,1822,180205,2991,15839,6.88,7.33,13.2,1.18,0.05,1.3,6.26,0.03,0.13,12.85,0,temp_repos\ck_output_spring-projects_spring-ai,81.24,2025-11-17T17:23:44.828570
alibaba/spring-ai-alibaba,6995,https://github.com/alibaba/spring-ai-alibaba,0,0.0,459,43317,769,3861,8.58,5.77,12.58,1.31,0.15,1.71,7.54,0.07,0.21,14.59,0,temp_repos\ck_output_alibaba_spring-ai-alibaba,20.75,2025-11-17T17:25:06.066132
527515025/springBoot,6724,https://github.com/527515025/springBoot,0,0.0,302,10408,264,1089,4.93,5.09,4.61,1.15,0.03,1.2,4.72,0.03,0.06,14.65,0,temp_repos\ck_output_527515025_springBoot,10.56,2025-11-17T17:25:26.821598
pig-mesh/pig,6468,https://github.com/pig-mesh/pig,0,0.0,384,13822,382,944,3.83,6.96,7.81,1.31,0.03,1.55,6.12,0.03,0.14,11.45,0,temp_repos\ck_output_pig-mesh_pig,14.26,2025-11-17T17:25:39.354417
wxiaoqi/Spring-Cloud-Platform,6434,https://github.com/wxiaoqi/Spring-Cloud-Platform,0,0.0,172,7696,177,1098,8.19,4.89,6.51,1.41,0.1,1.32,4.63,0.05,0.09,8.53,0,temp_repos\ck_output_wxiaoqi_Spring-Cloud-Platform,11.89,2025-11-17T17:25:53.619503
micronaut-projects/micronaut-core,6347,https://github.com/micronaut-projects/micronaut-core,0,0.0,4450,231450,4949,23468,8.21,5.79,7.7,1.32,0.07,1.73,5.99,0.07,0.26,11.02,0,temp_repos\ck_output_micronaut-projects_micronaut-core,116.6,2025-11-17T17:26:05.512174
Javen205/IJPay,6264,https://github.com/Javen205/IJPay,0,0.0,271,20604,273,1628,9.43,5.59,8.73,1.37,0.3,1.58,6.98,0.05,0.12,9.84,0,temp_repos\ck_output_Javen205_IJPay,11.55,2025-11-17T17:28:02.116660
jetlinks/jetlinks-community,6233,https://github.com/jetlinks/jetlinks-community,8,0.004,1383,94521,1848,7754,6.73,8.77,13.21,1.28,0.05,1.6,5.79,0.06,0.19,6.17,0,temp_repos\ck_output_jetlinks_jetlinks-community,46.92,2025-11-17T17:28:13.665473
graphql-java/graphql-java,6226,https://github.com/graphql-java/graphql-java,0,0.0,762,75789,1354,8820,10.15,8.32,11.29,1.39,0.12,1.55,5.91,0.07,0.16,14.61,0,temp_repos\ck_output_graphql-java_graphql-java,37.3,2025-11-17T17:29:00.586953
obsidiandynamics/kafdrop,6037,https://github.com/obsidiandynamics/kafdrop,13,0.13,80,4847,100,514,8.2,5.54,9.54,1.32,0.03,1.6,5.98,0.07,0.23,7.71,0,temp_repos\ck_output_obsidiandynamics_kafdrop,6.18,2025-11-17T17:29:40.044267
springfox/springfox,5940,https://github.com/springfox/springfox,489,0.43,942,50954,1136,5806,6.65,5.7,7.94,1.12,0.05,1.3,4.42,0.03,0.11,14.78,0,temp_repos\ck_output_springfox_springfox,27.05,2025-11-17T17:29:48.476267
jeequan/jeepay,5816,https://github.com/jeequan/jeepay,0,0.0,512,26224,550,1335,6.27,8.85,12.19,1.78,0.39,2.58,10.79,0.09,0.51,5.19,0,temp_repos\ck_output_jeequan_jeepay,16.43,2025-11-17T17:30:15.527965
Nepxion/Discovery,5755,https://github.com/Nepxion/Discovery,0,0.0,694,33364,828,3643,7.65,4.78,6.28,1.27,0.12,1.74,6.17,0.09,0.16,12.03,0,temp_repos\ck_output_Nepxion_Discovery,21.19,2025-11-17T17:30:31.957493
springside/springside4,5681,https://github.com/springside/springside4,4,0.013,200,13236,315,1560,8.0,3.17,8.72,1.28,0.02,1.62,6.69,0.1,0.21,5.46,0,temp_repos\ck_output_springside_springside4,10.73,2025-11-17T17:30:53.147283
ZHENFENG13/spring-boot-projects,5671,https://github.com/ZHENFENG13/spring-boot-projects,0,0.0,143,4101,107,494,6.53,4.33,4.98,1.07,0.0,1.41,4.55,0.01,0.13,14.06,0,temp_repos\ck_output_ZHENFENG13_spring-boot-projects,9.33,2025-11-17T17:31:03.878700
201206030/novel,5523,https://github.com/201206030/novel,0,0.0,188,7259,202,838,4.77,4.42,5.32,1.07,0.02,1.15,3.95,0.02,0.03,12.9,0,temp_repos\ck_output_201206030_novel,10.31,2025-11-17T17:31:13.209476
alibaba/jetcache,5501,https://github.com/alibaba/jetcache,1,0.002,312,19773,446,1948,7.07,6.03,9.54,1.64,0.24,1.62,7.57,0.06,0.26,11.5,0,temp_repos\ck_output_alibaba_jetcache,11.95,2025-11-17T17:31:23.521653
apache/dubbo-spring-boot-project,5405,https://github.com/apache/dubbo-spring-boot-project,27,0.303,83,3477,89,265,3.97,7.11,5.87,1.17,0.11,1.33,5.62,0.08,0.05,9.96,0,temp_repos\ck_output_apache_dubbo-spring-boot-project,5.8,2025-11-17T17:31:35.472687
liquibase/liquibase,5317,https://github.com/liquibase/liquibase,0,0.0,1487,116922,1733,11240,13.93,6.84,14.0,1.78,0.37,2.15,7.62,0.11,0.36,13.54,0,temp_repos\ck_output_liquibase_liquibase,48.33,2025-11-17T17:31:41.269642
remkop/picocli,5236,https://github.com/remkop/picocli,0,0.0,417,75148,2940,6674,3.87,3.0,3.96,1.11,0.01,1.71,8.57,0.14,0.17,14.31,0,temp_repos\ck_output_remkop_picocli,27.78,2025-11-17T17:32:29.597026
baomidou/dynamic-datasource,5098,https://github.com/baomidou/dynamic-datasource,3,0.017,146,6655,178,474,5.61,5.11,7.87,1.14,0.06,2.11,8.62,0.14,0.38,6.33,0,temp_repos\ck_output_baomidou_dynamic-datasource,7.63,2025-11-17T17:32:57.382608
sofastack/sofa-boot,5080,https://github.com/sofastack/sofa-boot,43,0.036,866,43399,1181,4367,5.49,5.15,7.04,1.2,0.09,1.49,5.92,0.06,0.17,14.23,0,temp_repos\ck_output_sofastack_sofa-boot,25.2,2025-11-17T17:33:05.011395
killme2008/aviatorscript,5068,https://github.com/killme2008/aviatorscript,29,0.055,407,41968,524,3724,17.3,4.64,9.31,1.5,0.35,2.43,9.13,0.14,0.43,11.58,0,temp_repos\ck_output_killme2008_aviatorscript,16.6,2025-11-17T17:33:30.214024
line/armeria,5042,https://github.com/line/armeria,0,0.0,3793,371636,6444,33593,8.11,6.45,12.42,1.32,0.05,1.55,6.98,0.05,0.22,10.97,0,temp_repos\ck_output_line_armeria,122.44,2025-11-17T17:33:46.814125
javastacks/spring-boot-best-practice,4957,https://github.com/javastacks/spring-boot-best-practice,0,0.0,174,3651,176,282,1.77,4.74,3.43,1.09,0.0,1.11,4.88,0.01,0.02,13.04,0,temp_repos\ck_output_javastacks_spring-boot-best-practice,7.9,2025-11-17T17:35:49.253973
roncoo/roncoo-pay,4941,https://github.com/roncoo/roncoo-pay,0,0.0,384,23912,394,2839,11.93,5.21,10.52,1.28,0.13,1.66,6.24,0.1,0.23,11.45,0,temp_repos\ck_output_roncoo_roncoo-pay,18.05,2025-11-17T17:35:57.152029
spring-cloud/spring-cloud-gateway,4772,https://github.com/spring-cloud/spring-cloud-gateway,211,0.17,655,53275,1238,5159,5.54,6.91,10.36,1.37,0.08,1.33,5.68,0.03,0.11,13.2,0,temp_repos\ck_output_spring-cloud_spring-cloud-gateway,23.92,2025-11-17T17:36:15.200638
zq2599/blog_demos,4730,https://github.com/zq2599/blog_demos,0,0.0,1655,71984,1819,6412,6.48,4.02,6.17,1.2,0.07,1.84,6.67,0.11,0.32,10.04,0,temp_repos\ck_output_zq2599_blog_demos,52.08,2025-11-17T17:36:39.121460
zlt2000/microservices-platform,4725,https://github.com/zlt2000/microservices-platform,0,0.0,341,12233,351,976,4.68,6.36,7.23,1.25,0.09,1.68,6.35,0.05,0.22,10.82,0,temp_repos\ck_output_zlt2000_microservices-platform,17.91,2025-11-17T17:37:31.207460
hansonwang99/Spring-Boot-In-Action,4706,https://github.com/hansonwang99/Spring-Boot-In-Action,1,0.007,130,3714,134,444,4.77,3.87,4.61,1.12,0.03,1.44,4.91,0.07,0.14,10.2,0,temp_repos\ck_output_hansonwang99_Spring-Boot-In-Action,6.77,2025-11-17T17:37:49.116977
zongzibinbin/MallChat,4549,https://github.com/zongzibinbin/MallChat,0,0.0,424,15281,444,1199,4.05,6.24,7.73,1.2,0.06,1.5,6.02,0.06,0.06,10.62,0,temp_repos\ck_output_zongzibinbin_MallChat,13.84,2025-11-17T17:37:57.847316
ageerle/ruoyi-ai,4351,https://github.com/ageerle/ruoyi-ai,0,0.0,1006,50663,1113,4009,6.93,6.27,8.87,1.26,0.07,1.92,7.08,0.07,0.21,8.47,0,temp_repos\ck_output_ageerle_ruoyi-ai,26.17,2025-11-17T17:38:11.687394
201206030/novel-plus,4344,https://github.com/201206030/novel-plus,0,0.0,391,25295,414,3154,9.71,6.48,7.77,1.21,0.06,1.28,4.05,0.03,0.09,9.93,0,temp_repos\ck_output_201206030_novel-plus,17.6,2025-11-17T17:38:37.859022
mybatis/spring-boot-starter,4228,https://github.com/mybatis/spring-boot-starter,9,0.051,115,5417,175,629,4.02,4.52,5.22,1.22,0.01,1.12,4.85,0.0,0.04,13.96,0,temp_repos\ck_output_mybatis_spring-boot-starter,6.12,2025-11-17T17:38:55.459639
dromara/hmily,4190,https://github.com/dromara/hmily,14,0.016,814,35998,877,3615,6.59,5.37,8.58,1.22,0.09,1.6,6.14,0.05,0.18,11.01,0,temp_repos\ck_output_dromara_hmily,22.03,2025-11-17T17:39:01.580276
lilishop/lilishop,4032,https://github.com/lilishop/lilishop,1,0.001,1539,72278,1562,4871,5.86,7.62,8.97,1.31,0.07,1.88,7.16,0.1,0.26,5.17,0,temp_repos\ck_output_lilishop_lilishop,44.01,2025-11-17T17:39:23.610156
lukas-krecan/ShedLock,4022,https://github.com/lukas-krecan/ShedLock,0,0.0,376,14745,395,1641,5.07,6.02,8.68,2.18,0.53,1.22,4.71,0.01,0.05,11.72,0,temp_repos\ck_output_lukas-krecan_ShedLock,14.39,2025-11-17T17:40:07.619404
Exrick/xboot,3893,https://github.com/Exrick/xboot,0,0.0,327,15409,349,1150,6.26,7.42,8.0,1.21,0.08,1.9,7.46,0.1,0.19,13.63,0,temp_repos\ck_output_Exrick_xboot,11.35,2025-11-17T17:40:26.245225
camunda/camunda,3873,https://github.com/camunda/camunda,0,0.0,12190,1110604,15044,91620,7.85,7.22,14.59,1.39,0.12,1.29,5.51,0.02,0.12,7.47,0,temp_repos\ck_output_camunda_camunda,332.12,2025-11-17T17:40:37.594035
ZHENFENG13/My-Blog,3841,https://github.com/ZHENFENG13/My-Blog,0,0.0,58,3035,58,442,11.98,4.76,7.83,1.05,0.0,1.57,4.86,0.02,0.15,10.81,0,temp_repos\ck_output_ZHENFENG13_My-Blog,8.97,2025-11-17T17:46:09.723344
shopizer-ecommerce/shopizer,3832,https://github.com/shopizer-ecommerce/shopizer,25,0.02,1210,77754,1233,7693,9.88,7.94,10.1,1.68,0.27,1.58,6.09,0.06,0.24,5.73,0,temp_repos\ck_output_shopizer-ecommerce_shopizer,36.77,2025-11-17T17:46:18.697359
Atmosphere/atmosphere,3728,https://github.com/Atmosphere/atmosphere,0,0.0,353,36584,742,4176,10.96,5.5,10.2,1.31,0.15,1.95,7.17,0.1,0.33,5.98,0,temp_repos\ck_output_Atmosphere_atmosphere,15.24,2025-11-17T17:46:55.472568
grpc-ecosystem/grpc-spring,3685,https://github.com/grpc-ecosystem/grpc-spring,129,0.309,306,14844,418,1269,4.42,6.61,6.08,1.48,0.11,1.46,6.01,0.05,0.19,9.3,0,temp_repos\ck_output_grpc-ecosystem_grpc-spring,12.66,2025-11-17T17:47:10.712991
networknt/light-4j,3676,https://github.com/networknt/light-4j,53,0.043,852,79456,1235,6946,11.85,4.59,13.0,1.17,0.05,2.1,8.48,0.1,0.38,13.13,0,temp_repos\ck_output_networknt_light-4j,30.77,2025-11-17T17:47:23.372459
spring-io/initializr,3618,https://github.com/spring-io/initializr,0,0.0,610,38024,740,4508,7.74,5.91,11.64,1.27,0.1,1.27,5.59,0.03,0.11,9.45,0,temp_repos\ck_output_spring-io_initializr,21.22,2025-11-17T17:47:54.142804
springdoc/springdoc-openapi,3610,https://github.com/springdoc/springdoc-openapi,234,0.062,4213,116911,3754,9448,3.11,3.94,3.12,1.31,0.2,1.24,4.23,0.02,0.08,11.08,0,temp_repos\ck_output_springdoc_springdoc-openapi,98.43,2025-11-17T17:48:15.365492
spring-cloud/spring-cloud-kubernetes,3522,https://github.com/spring-cloud/spring-cloud-kubernetes,108,0.098,992,58820,1106,3867,4.15,8.12,11.2,1.28,0.22,1.19,7.02,0.01,0.06,14.76,0,temp_repos\ck_output_spring-cloud_spring-cloud-kubernetes,28.86,2025-11-17T17:49:53.800567
Grt1228/chatgpt-java,3462,https://github.com/Grt1228/chatgpt-java,9,0.045,158,6776,201,443,3.12,6.74,5.4,1.1,0.05,1.42,5.83,0.02,0.05,11.84,0,temp_repos\ck_output_Grt1228_chatgpt-java,6.91,2025-11-17T17:50:22.663533
smartloli/EFAK,3152,https://github.com/smartloli/EFAK,0,0.0,212,22024,244,1363,15.44,5.27,13.67,1.0,0.0,2.76,11.2,0.13,0.52,8.96,0,temp_repos\ck_output_smartloli_EFAK,11.03,2025-11-17T17:50:31.418181
egzosn/pay-java-parent,3060,https://github.com/egzosn/pay-java-parent,15,0.048,277,21496,312,3350,14.04,5.0,10.56,1.3,0.19,1.31,4.65,0.03,0.12,14.01,0,temp_repos\ck_output_egzosn_pay-java-parent,10.84,2025-11-17T17:50:44.313367
ulisesbocchio/jasypt-spring-boot,3028,https://github.com/ulisesbocchio/jasypt-spring-boot,17,0.168,83,3672,101,386,5.19,5.8,8.11,1.5,0.12,1.36,5.38,0.02,0.12,9.96,0,temp_repos\ck_output_ulisesbocchio_jasypt-spring-boot,5.87,2025-11-17T17:50:57.172481
ltsopensource/light-task-scheduler,3018,https://github.com/ltsopensource/light-task-scheduler,0,0.0,803,48577,1102,5888,9.82,4.34,9.09,1.37,0.15,1.84,6.58,0.09,0.3,6.09,0,temp_repos\ck_output_ltsopensource_light-task-scheduler,25.65,2025-11-17T17:51:03.043194
spring-projects/spring-data-elasticsearch,2951,https://github.com/spring-projects/spring-data-elasticsearch,0,0.0,671,65907,1225,7392,7.95,6.62,8.52,1.24,0.11,1.32,5.25,0.02,0.15,13.02,0,temp_repos\ck_output_spring-projects_spring-data-elasticsearch,24.48,2025-11-17T17:51:28.693441
wkeyuan/DWSurvey,2909,https://github.com/wkeyuan/DWSurvey,0,0.0,430,29579,440,3338,13.69,6.04,10.02,1.55,0.1,1.8,6.64,0.11,0.31,7.72,0,temp_repos\ck_output_wkeyuan_DWSurvey,16.77,2025-11-17T17:51:53.176103
