repository,stars,url,total_bugs,bugs_per_class,total_java_files,total_loc,total_classes,total_methods,avg_wmc,avg_cbo,avg_rfc,avg_dit,avg_noc,avg_wmc_method,avg_loc_method,avg_loops,avg_comparisons,code_duplication_percent,maintainability_index,ck_output_dir,analysis_time_seconds,analysis_date
eventeum/eventeum,506,https://github.com/eventeum/eventeum,0,0.0,267,11611,340,1094,4.19,6.25,7.84,1.49,0.15,1.3,5.6,0.02,0.1,6.98,0,temp_repos\ck_output_eventeum_eventeum,10.69,2025-11-17T19:42:56.742332
wells2333/sg-exam,505,https://github.com/wells2333/sg-exam,0,0.0,524,25707,552,2344,6.89,7.71,10.34,1.59,0.11,1.62,5.93,0.08,0.18,7.25,0,temp_repos\ck_output_wells2333_sg-exam,21.34,2025-11-17T19:43:07.435634
GoogleCloudPlatform/spring-cloud-gcp,504,https://github.com/GoogleCloudPlatform/spring-cloud-gcp,0,0.0,1842,204384,2012,16654,13.73,9.98,15.51,1.12,0.02,1.66,6.68,0.01,0.29,6.67,0,temp_repos\ck_output_GoogleCloudPlatform_spring-cloud-gcp,61.06,2025-11-17T19:43:28.778449
kanjielu/jeeves,503,https://github.com/kanjielu/jeeves,0,0.0,96,4549,99,731,8.64,3.8,4.51,1.22,0.13,1.17,4.12,0.02,0.07,8.71,0,temp_repos\ck_output_kanjielu_jeeves,5.49,2025-11-17T19:44:29.842375
wayn111/newbee-mall-pro,501,https://github.com/wayn111/newbee-mall-pro,0,0.0,173,7571,173,511,5.95,7.05,9.45,1.28,0.16,2.01,8.1,0.14,0.3,8.24,0,temp_repos\ck_output_wayn111_newbee-mall-pro,12.54,2025-11-17T19:44:41.741100
runabol/piper,498,https://github.com/runabol/piper,1,0.005,192,8293,220,920,5.73,5.63,9.35,1.05,0.05,1.37,5.73,0.05,0.14,8.73,0,temp_repos\ck_output_runabol_piper,8.49,2025-11-17T19:44:54.282277
gessnerfl/fake-smtp-server,494,https://github.com/gessnerfl/fake-smtp-server,15,0.073,185,8633,206,822,5.68,4.98,7.92,1.48,0.17,1.42,6.66,0.04,0.15,14.0,0,temp_repos\ck_output_gessnerfl_fake-smtp-server,8.34,2025-11-17T19:45:02.777819
Waffle/waffle,492,https://github.com/Waffle/waffle,12,0.038,304,18202,317,1510,7.66,5.59,9.23,1.12,0.11,1.61,7.28,0.09,0.22,6.34,0,temp_repos\ck_output_Waffle_waffle,12.13,2025-11-17T19:45:11.120933
keets2012/microservice-integration,492,https://github.com/keets2012/microservice-integration,0,0.0,114,4045,126,488,4.94,4.74,5.76,1.21,0.02,1.28,4.4,0.03,0.1,7.41,0,temp_repos\ck_output_keets2012_microservice-integration,6.08,2025-11-17T19:45:24.869556
FinVolution/pmq,490,https://github.com/FinVolution/pmq,0,0.0,635,44145,771,4457,10.52,5.16,10.67,1.44,0.12,1.82,7.44,0.08,0.24,8.46,0,temp_repos\ck_output_FinVolution_pmq,21.43,2025-11-17T19:45:30.946086
domaframework/doma,490,https://github.com/domaframework/doma,18,0.006,2273,134596,3025,14858,6.69,5.65,6.0,1.43,0.11,1.36,5.91,0.04,0.17,14.94,0,temp_repos\ck_output_domaframework_doma,60.25,2025-11-17T19:45:52.375051
sitemesh/sitemesh3,489,https://github.com/sitemesh/sitemesh3,0,0.0,131,7933,202,907,7.47,4.62,7.76,1.51,0.17,1.66,6.61,0.11,0.33,8.15,0,temp_repos\ck_output_sitemesh_sitemesh3,8.21,2025-11-17T19:46:52.628174
wimdeblauwe/error-handling-spring-boot-starter,487,https://github.com/wimdeblauwe/error-handling-spring-boot-starter,4,0.036,85,4635,112,400,4.52,7.06,6.87,1.54,0.13,1.26,5.06,0.02,0.07,7.0,0,temp_repos\ck_output_wimdeblauwe_error-handling-spring-boot-starter,5.51,2025-11-17T19:47:00.843072
dekorateio/dekorate,487,https://github.com/dekorateio/dekorate,60,0.069,1023,34742,872,2877,5.66,5.15,11.06,1.56,0.06,1.72,6.48,0.09,0.2,9.89,0,temp_repos\ck_output_dekorateio_dekorate,30.41,2025-11-17T19:47:06.357987
thymeleaf/thymeleaf-extras-springsecurity,487,https://github.com/thymeleaf/thymeleaf-extras-springsecurity,0,0.0,32,2700,46,242,13.2,8.22,10.28,1.22,0.0,2.51,7.3,0.05,0.57,5.77,0,temp_repos\ck_output_thymeleaf_thymeleaf-extras-springsecurity,4.68,2025-11-17T19:47:36.772492
linux-china/chatgpt-spring-boot-starter,486,https://github.com/linux-china/chatgpt-spring-boot-starter,0,0.0,68,3264,65,490,10.54,5.83,7.89,1.11,0.11,1.4,4.38,0.05,0.12,12.42,0,temp_repos\ck_output_linux-china_chatgpt-spring-boot-starter,5.33,2025-11-17T19:47:41.452933
xuminwlt/j360-dubbo-app-all,486,https://github.com/xuminwlt/j360-dubbo-app-all,0,0.0,210,18041,354,2013,13.98,4.33,7.01,2.04,0.06,2.46,6.92,0.21,0.71,8.85,0,temp_repos\ck_output_xuminwlt_j360-dubbo-app-all,10.6,2025-11-17T19:47:46.783317
spring-projects-experimental/spring-boot-migrator,485,https://github.com/spring-projects-experimental/spring-boot-migrator,0,0.0,2075,116230,2216,10433,5.8,6.84,7.16,1.56,0.23,1.23,4.8,0.01,0.12,14.28,0,temp_repos\ck_output_spring-projects-experimental_spring-boot-migrator,54.22,2025-11-17T19:47:57.384755
gingerredjade/flink-userportrait-main,485,https://github.com/gingerredjade/flink-userportrait-main,0,0.0,258,18419,301,1667,11.85,2.95,9.74,1.1,0.01,2.14,9.01,0.28,0.28,11.54,0,temp_repos\ck_output_gingerredjade_flink-userportrait-main,11.19,2025-11-17T19:48:51.606470
laigeoffer/pmhub,485,https://github.com/laigeoffer/pmhub,0,0.0,1211,69557,1018,6130,10.88,6.13,12.34,1.37,0.15,1.81,6.62,0.09,0.17,7.92,0,temp_repos\ck_output_laigeoffer_pmhub,30.46,2025-11-17T19:49:02.798190
tonybase/netty-chat,481,https://github.com/tonybase/netty-chat,0,0.0,32,2675,55,341,9.84,5.31,6.47,1.29,0.07,1.59,5.63,0.03,0.24,5.77,0,temp_repos\ck_output_tonybase_netty-chat,3.64,2025-11-17T19:49:35.603198
kalvinGit/kvf-admin,480,https://github.com/kalvinGit/kvf-admin,0,0.0,147,6039,152,629,6.2,5.67,8.07,1.38,0.16,1.5,5.8,0.07,0.12,11.05,0,temp_repos\ck_output_kalvinGit_kvf-admin,7.73,2025-11-17T19:49:40.983953
AntonyCheng/spring-boot-init-template,478,https://github.com/AntonyCheng/spring-boot-init-template,3,0.005,495,31164,559,2818,10.45,6.18,10.11,1.15,0.07,2.07,7.33,0.1,0.2,11.85,0,temp_repos\ck_output_AntonyCheng_spring-boot-init-template,16.2,2025-11-17T19:49:48.713607
microapp-store/flash-waimai,476,https://github.com/microapp-store/flash-waimai,1,0.003,342,17339,374,1710,8.35,5.53,8.77,1.43,0.27,1.83,6.98,0.15,0.25,6.21,0,temp_repos\ck_output_microapp-store_flash-waimai,12.12,2025-11-17T19:50:06.686154
hapifhir/hapi-fhir-jpaserver-starter,475,https://github.com/hapifhir/hapi-fhir-jpaserver-starter,8,0.068,95,7073,117,616,7.56,9.7,13.27,1.15,0.03,1.44,5.85,0.02,0.14,12.6,0,temp_repos\ck_output_hapifhir_hapi-fhir-jpaserver-starter,5.94,2025-11-17T19:50:18.809980
PacktPublishing/Hands-On-Microservices-with-Spring-Boot-and-Spring-Cloud,474,https://github.com/PacktPublishing/Hands-On-Microservices-with-Spring-Boot-and-Spring-Cloud,0,0.0,955,45181,147,678,5.56,7.2,8.35,1.1,0.67,1.21,4.78,0.0,0.06,11.65,0,temp_repos\ck_output_PacktPublishing_Hands-On-Microservices-with-Spring-Boot-and-Spring-Cloud,17.48,2025-11-17T19:50:24.753784
amigoscode/full-stack-professional,473,https://github.com/amigoscode/full-stack-professional,0,0.0,47,2753,47,204,5.15,6.45,11.17,1.28,0.06,1.19,5.83,0.0,0.1,8.52,1.0,temp_repos\ck_output_amigoscode_full-stack-professional,4.44,2025-11-17T19:50:42.230260
zjcscut/octopus,471,https://github.com/zjcscut/octopus,0,0.0,95,8020,119,1561,14.48,4.11,5.3,1.18,0.0,1.1,4.17,0.01,0.04,12.6,0,temp_repos\ck_output_zjcscut_octopus,5.78,2025-11-17T19:50:46.670733
spring-petclinic/spring-framework-petclinic,470,https://github.com/spring-petclinic/spring-framework-petclinic,7,0.121,58,2128,58,220,4.81,6.48,7.19,1.36,0.21,1.27,4.65,0.05,0.1,10.81,1.5,temp_repos\ck_output_spring-petclinic_spring-framework-petclinic,4.77,2025-11-17T19:50:52.451137
wsk1103/Used-Trading-Platform2,470,https://github.com/wsk1103/Used-Trading-Platform2,0,0.0,106,4708,106,900,10.95,3.08,6.26,1.05,0.0,1.29,3.72,0.02,0.11,12.11,0,temp_repos\ck_output_wsk1103_Used-Trading-Platform2,7.13,2025-11-17T19:50:57.226435
jantent/Jantent,464,https://github.com/jantent/Jantent,0,0.0,122,10909,152,1890,15.84,5.23,8.21,1.41,0.08,1.27,4.71,0.03,0.1,10.1,0,temp_repos\ck_output_jantent_Jantent,8.28,2025-11-17T19:51:06.819108
xjjdog/bcmall,463,https://github.com/xjjdog/bcmall,0,0.0,144,4215,148,292,3.25,4.87,5.78,1.26,0.16,1.65,6.7,0.12,0.17,9.48,0,temp_repos\ck_output_xjjdog_bcmall,7.11,2025-11-17T19:51:15.097715
alibaba/aliyun-spring-boot,459,https://github.com/alibaba/aliyun-spring-boot,14,0.125,107,4604,112,445,5.99,5.5,7.48,1.27,0.09,1.51,6.08,0.05,0.15,7.46,0,temp_repos\ck_output_alibaba_aliyun-spring-boot,7.4,2025-11-17T19:51:24.116045
micyo202/lion,459,https://github.com/micyo202/lion,1,0.006,159,6722,169,709,5.85,5.88,8.77,1.31,0.05,1.39,5.64,0.04,0.08,8.95,0,temp_repos\ck_output_micyo202_lion,8.87,2025-11-17T19:51:31.520086
TimefoldAI/timefold-quickstarts,458,https://github.com/TimefoldAI/timefold-quickstarts,29,0.107,301,21560,270,2074,9.95,7.66,14.37,1.16,0.02,1.3,5.05,0.05,0.15,8.99,0,temp_repos\ck_output_TimefoldAI_timefold-quickstarts,13.15,2025-11-17T19:51:40.386158
liyupi/mianshiya-next,457,https://github.com/liyupi/mianshiya-next,0,0.0,152,5601,155,309,4.39,5.83,7.14,1.12,0.05,2.2,9.15,0.06,0.51,14.78,0,temp_repos\ck_output_liyupi_mianshiya-next,8.62,2025-11-17T19:51:53.538566
shaogezhu/easy-rpc,456,https://github.com/shaogezhu/easy-rpc,0,0.0,87,3203,94,356,6.15,3.91,8.03,1.15,0.03,1.62,6.46,0.12,0.15,6.46,0,temp_repos\ck_output_shaogezhu_easy-rpc,5.75,2025-11-17T19:52:02.162113
hryou0922/spring_boot,455,https://github.com/hryou0922/spring_boot,0,0.0,328,21264,464,2589,8.3,4.77,7.11,1.12,0.02,1.49,6.01,0.04,0.23,11.42,0,temp_repos\ck_output_hryou0922_spring_boot,13.13,2025-11-17T19:52:07.914459
JavatoDev-com/internet-banking-concept-microservices,454,https://github.com/JavatoDev-com/internet-banking-concept-microservices,3,0.026,131,2512,117,142,1.47,4.58,3.03,1.29,0.1,1.21,5.47,0.0,0.13,8.15,4.5,temp_repos\ck_output_JavatoDev-com_internet-banking-concept-microservices,6.05,2025-11-17T19:52:21.041551
darrachequesne/spring-data-jpa-datatables,454,https://github.com/darrachequesne/spring-data-jpa-datatables,6,0.113,45,2014,53,157,4.47,7.83,7.0,1.25,0.06,1.51,6.22,0.09,0.17,7.72,2.13,temp_repos\ck_output_darrachequesne_spring-data-jpa-datatables,4.58,2025-11-17T19:52:27.095194
ollama4j/ollama4j,454,https://github.com/ollama4j/ollama4j,2,0.018,88,5863,113,342,5.73,4.38,9.64,1.27,0.06,1.89,9.71,0.09,0.3,8.97,0,temp_repos\ck_output_ollama4j_ollama4j,6.49,2025-11-17T19:52:31.670902
zonkyio/embedded-database-spring-test,451,https://github.com/zonkyio/embedded-database-spring-test,0,0.0,176,14446,312,1452,6.94,6.55,10.12,1.16,0.03,1.49,6.15,0.03,0.21,5.3,0,temp_repos\ck_output_zonkyio_embedded-database-spring-test,9.22,2025-11-17T19:52:38.159286
oddfar/campus,448,https://github.com/oddfar/campus,12,0.063,188,9195,190,957,9.3,6.32,10.21,1.46,0.13,1.85,6.03,0.09,0.19,12.9,0,temp_repos\ck_output_oddfar_campus,9.46,2025-11-17T19:52:47.375783
