full_name,url,created_at,pushed_at,stars,forks,open_issues,total_issues,contributors,topics,frameworks,framework_primary,detection_source,spring_boot_version,collected_at
joinfaces/joinfaces,https://github.com/joinfaces/joinfaces,2016-04-29T17:27:00Z,2026-08-31T16:40:55Z,436,96,45,532,27,adminfaces; angularfaces; bootsfaces; butterfaces; cdi; jetty; joinfaces; jsf; mojarra; myfaces; omnifaces; primefaces; primefaces-extensions; rewrite; spring-boot; spring-security; starters; tomcat; undertow; weld,JSF / PrimeFaces; Spring Boot,Spring Boot,topics,,2026-09-01T17:59:13Z
javaee-samples/javaee8-samples,https://github.com/javaee-samples/javaee8-samples,2014-10-06T16:22:37Z,2023-11-23T09:48:27Z,384,249,4,9,11,beanvalidation; cdi; glassfish; javaee; javaee8; jsf; json-b; payara; servlet; servlets; tomcat,Jakarta EE / Java EE; JSF / PrimeFaces,JSF / PrimeFaces,topics,,2026-09-01T17:59:16Z
omnifaces/omnifaces,https://github.com/omnifaces/omnifaces,2014-03-24T13:05:53Z,2026-09-01T17:32:53Z,310,102,1,828,30,jsf; omnifaces,JSF / PrimeFaces; Quarkus; Jakarta EE / Java EE,Quarkus,both,,2026-09-01T17:59:18Z
SerNet/verinice,https://github.com/SerNet/verinice,2015-12-17T15:57:41Z,2025-01-30T15:29:07Z,225,66,0,0,34,eclipse; isms; java; jsf; primefaces; rcp; spring,JSF / PrimeFaces,JSF / PrimeFaces,topics,,2026-09-01T17:59:21Z
rieckpil/custom-maven-archetypes,https://github.com/rieckpil/custom-maven-archetypes,2018-10-04T17:46:52Z,2026-04-16T21:35:18Z,46,19,1,2,3,jakarta-ee; java; java-ee; jsf; jsf-development; maven; maven-archetype; openliberty; payara; project-template; tomee; wildfly,Jakarta EE / Java EE; JSF / PrimeFaces,JSF / PrimeFaces,topics,,2026-09-01T17:59:23Z
hantsy/jakartaee9-servlet-starter-boilerplate,https://github.com/hantsy/jakartaee9-servlet-starter-boilerplate,2021-04-02T13:21:52Z,2025-06-23T06:55:35Z,25,10,2,3,5,arquillian; bean-validation; cdi; jakarta-ee; jakarta-persistence; jetty; jpa; jsf; json; json-b; junit5; servlet; tomcat,Jakarta EE / Java EE; JSF / PrimeFaces,JSF / PrimeFaces,both,,2026-09-01T17:59:27Z
chipolaris/BootForum,https://github.com/chipolaris/BootForum,2020-03-26T00:22:52Z,2025-07-04T00:20:24Z,21,9,2,2,8,bulletin-board; discussion-forum; eclipselink; forum; java; jpa; jsf; mysql; oracle; primefaces; spring-boot; sql-server; w3css,JSF / PrimeFaces; Spring Boot; Jakarta EE / Java EE,Spring Boot,both,2.7.9,2026-09-01T17:59:29Z
mixaverros88/dockerized-java-e-commerce-app,https://github.com/mixaverros88/dockerized-java-e-commerce-app,2018-06-25T15:41:47Z,2025-12-24T16:01:29Z,13,13,0,0,1,css; database; docker; docker-compose; html5; java; javascript; jee; jpa; jquery; jsf; jsf-framework; maven; mysql; tomcat-server; travis,JSF / PrimeFaces; Jakarta EE / Java EE,JSF / PrimeFaces,both,,2026-09-01T17:59:31Z
quarkiverse/quarkus-primefaces,https://github.com/quarkiverse/quarkus-primefaces,2023-02-16T16:11:34Z,2026-08-31T11:50:47Z,45,3,2,43,8,faces; jsf; myfaces; primefaces; primefaces-extensions; quarkus-extension; web,JSF / PrimeFaces; Quarkus,Quarkus,both,,2026-09-01T17:59:32Z
quarkiverse/quarkus-omnifaces,https://github.com/quarkiverse/quarkus-omnifaces,2022-08-22T13:11:33Z,2026-08-27T11:38:46Z,21,5,1,22,10,faces; jsf; omnifaces; quarkus; quarkus-extension,JSF / PrimeFaces; Quarkus,Quarkus,both,,2026-09-01T17:59:34Z
e-Contract/enterprise-jsf,https://github.com/e-Contract/enterprise-jsf,2022-05-24T08:12:40Z,2026-07-18T13:33:56Z,19,1,0,1,2,java; jsf; primefaces,JSF / PrimeFaces,JSF / PrimeFaces,both,,2026-09-01T17:59:37Z
Jakarta-EE-Petclinic/petclinic-jakartaee,https://github.com/Jakarta-EE-Petclinic/petclinic-jakartaee,2022-07-03T14:32:54Z,2023-06-30T20:34:39Z,16,8,9,13,1,cdi; ejb; facelets; jakartaee; java; javaee; javaserverfaces; jpa; jsf; openliberty; postgresql; primefaces; rosetta-stone; spring-mvc; uml; wildfly,Jakarta EE / Java EE; JSF / PrimeFaces; Spring MVC,JSF / PrimeFaces,both,,2026-09-01T17:59:41Z
primefaces-extensions/resources-optimizer-maven-plugin,https://github.com/primefaces-extensions/resources-optimizer-maven-plugin,2013-01-02T20:40:24Z,2026-08-27T11:38:41Z,42,16,0,34,14,css; java; javascript; maven-plugin; primefaces,JSF / PrimeFaces,JSF / PrimeFaces,both,,2026-09-01T17:59:43Z
ova2/jsf-primefaces-cdi-template,https://github.com/ova2/jsf-primefaces-cdi-template,2013-11-17T20:25:46Z,2013-12-12T13:59:52Z,10,8,0,0,1,cdi; jsf2; primefaces; template,JSF / PrimeFaces; Jakarta EE / Java EE,JSF / PrimeFaces,both,,2026-09-01T17:59:45Z
arthurgregorio/web-budget,https://github.com/arthurgregorio/web-budget,2014-12-28T01:41:54Z,2026-01-21T10:31:17Z,218,97,17,467,20,apache-shiro; cdi; control; docker; financial; html; java; jsf; mariadb; maven; postgresql; primefaces; web; wildfly,JSF / PrimeFaces,JSF / PrimeFaces,both,,2026-09-01T17:59:46Z
code-not-found/jsf-primefaces,https://github.com/code-not-found/jsf-primefaces,2015-11-21T12:17:32Z,2019-12-28T19:18:30Z,117,227,1,2,3,joinfaces; jsf; maven; primefaces; spring; springboot,JSF / PrimeFaces,JSF / PrimeFaces,topics,,2026-09-01T17:59:48Z
joinfaces/joinfaces-maven-jar-example,https://github.com/joinfaces/joinfaces-maven-jar-example,2016-05-12T12:02:29Z,2026-08-31T18:50:28Z,93,81,15,132,7,angularfaces; bootsfaces; butterfaces; jetty; joinfaces; jsf; mojarra; myfaces; primefaces; spring-boot; tomcat; undertow,JSF / PrimeFaces; Spring Boot; Jakarta EE / Java EE,Spring Boot,both,4.1.1,2026-09-01T17:59:50Z
suewonjp/civilizer,https://github.com/suewonjp/civilizer,2015-07-11T02:29:42Z,2018-05-12T02:31:59Z,84,3,2,6,2,hibernate; java; jsf; knowledge-management; knowledgebase; learning; learning-notes; markdown; note-taking; personal-knowledge-base; personal-wiki; pkb; pkm; primefaces; spock; spring-mvc; spring-security; spring-web-flow; springframework,JSF / PrimeFaces; Spring MVC; Jakarta EE / Java EE,JSF / PrimeFaces,both,,2026-09-01T17:59:52Z
jameswong3388/HostelGuard,https://github.com/jameswong3388/HostelGuard,2024-12-10T02:46:19Z,2025-07-09T18:56:41Z,10,0,0,0,1,caffeine-cache; ejb; jee; jsf; jsp; mysql-database; primefaces; primefaces-extensions; servlet,JSF / PrimeFaces; Jakarta EE / Java EE,JSF / PrimeFaces,both,,2026-09-01T17:59:54Z
apache/struts1,https://github.com/apache/struts1,2009-05-21T01:36:19Z,2023-12-17T23:24:14Z,35,99,0,0,31,java; struts; web-framework,Struts; Jakarta EE / Java EE,Struts,both,,2026-09-01T17:59:56Z
apache/struts,https://github.com/apache/struts,2014-01-15T08:00:08Z,2026-08-31T18:45:14Z,1366,866,0,0,134,java; struts; web-framework,Struts,Struts,both,,2026-09-01T17:59:58Z
apache/struts-examples,https://github.com/apache/struts-examples,2014-03-11T07:00:06Z,2026-08-31T00:03:17Z,444,563,0,0,35,java; struts; web-framework,Struts; Jakarta EE / Java EE,Struts,both,,2026-09-01T18:00:00Z
ushelp/EasyEE,https://github.com/ushelp/EasyEE,2015-09-30T08:38:06Z,2022-12-16T09:01:37Z,286,164,4,15,3,cms; easyee-auto; easyee-sm; easyui; hibernate; javaee; jpa; mybatis; oracle; sh; shiro; spring-boot; spring-hibernate; springmvc-mybatis; ssh; struts; struts2; struts2-spring-hibernate,Jakarta EE / Java EE; Spring Boot; Struts,Spring Boot,topics,,2026-09-01T18:00:01Z
MSaifAsif/sample-skeleton-projects,https://github.com/MSaifAsif/sample-skeleton-projects,2014-12-14T09:46:10Z,2026-08-08T13:41:23Z,36,15,8,81,5,hibernate; java; jsoup; log4j; mvc-frameworks; pippo; struts; wickets,Struts,Struts,topics,,2026-09-01T18:00:03Z
IstitutoCentraleCatalogoUnicoBiblio/SBNWeb-Open,https://github.com/IstitutoCentraleCatalogoUnicoBiblio/SBNWeb-Open,2019-03-11T09:49:50Z,2024-11-19T14:38:56Z,13,8,0,0,4,c; cpp; ejb; hibernate; java; jboss; opac; sbn; sql; struts; web-services,Struts,Struts,topics,,2026-09-01T18:00:05Z
Svoysh/struts2shop,https://github.com/Svoysh/struts2shop,2011-08-08T05:43:29Z,2017-03-14T11:52:27Z,25,32,1,1,1,fckeditor; hibernate; java; jquery; spring; struts2; webapp,Struts,Struts,topics,,2026-09-01T18:00:07Z
